from,to,population
Ayutthaya Kingdom,Vientiane,243.74839782714844
Qara Qoyunlu,Beylik of Dulkadir,243.03982543945312
Portuguese Empire,Bolivia,242.34303665161133
Principality of Theodoro,Republic of Genoa,241.4248867034912
Sukhothai Kingdom,Sultanate of Kedah,241.2232208251953
Khmer Empire,Đại Việt,236.98040771484375
Kingdom of Mercia,Kingdom of Essex,236.49581146240234
Kingdom of Lindsey,Kingdom of Mercia,236.3464813232422
Mongol Empire,Pskov Republic,235.7418441772461
Principality of Wallachia,Eastern Hungarian Kingdom,235.4828643798828
Southern Song,Ngô Dynasty,234.7660369873047
Kingdom of Saudi Arabia,Iraqi Republic,234.4829649925232
Republic of Latvia,Republic of Lithuania,233.9689712524414
Beylik of Dulkadir,Qara Qoyunlu,233.96365356445312
Taifa of Saltés and Huelva,Taifa of Tejada,232.79769134521484
Stateless & unmapped,Mongol Khanate,230.84395170211792
Brythons,Danelaw,230.44385528564453
Principality of Jersika,Novgorod Republic,230.37174797058105
Dzungar Khanate,Khanate of Kokand,226.76634407043457
Blue Horde,Republic of Genoa,226.69413375854492
County of Pallars Jussà,Kingdom of Aragon,226.0183563232422
Kingdom of Spain,People's Democratic Republic of Algeria,225.84689331054688
Emirate of Córdoba,County of Berga,225.28382873535156
Principality of Vladimir-Suzdal,Tver,223.70523834228516
(Kingdom of England),Kingdom of Alba,222.57601928710938
House of Jagiellon,Livonian Conference,222.42144966125488
Kingdom of Essex,Kingdom of East Anglia,221.40768432617188
Anglo-Saxon England,(Brythonic Kingdoms),220.8245086669922
Ifat Sultanate,Ethiopian Empire,220.15435218811035
Trịnh lords,Lan Xang,218.9535140991211
Serbian Despots,Kingdom of Bosnia,218.47107124328613
Stateless & unmapped,Sierra Leone,217.23025512695312
Qing Dynasty,British Raj,216.52976417541504
Turk Shahis,Rashidun Caliphate,216.4390106201172
Eastern Kara-Khanids,Kashmir,216.25206093490124
Athenian Coalition,Stateless & unmapped,215.46270179748535
Southern Han,Stateless & unmapped,215.31236267089844
Ostrogothic Kingdom,Avar Khaganate,213.5192413330078
Kingdom of Urartu,Neo-Babylonian Empire,213.00750427246095
County of Ribagorza,Duchy of Gascony,211.7103042602539
Taifa of Santa Maria do Algarve,Taifa of Saltés and Huelva,211.63426208496094
Stateless & unmapped,Songhai Empire,210.4468047618866
Stateless & unmapped,Cornwall,210.1106719970703
Taifa of Saltés and Huelva,Stateless & unmapped,209.3611831665039
Ottoman Empire,Principality of Mingrelia,208.34564208984375
Western Göktürks,Umayyad Caliphate,207.91803427040577
Western Moghulistan,Khanate of Bukhara,206.85724639892578
Brazilian Republic,Republic of Colombia,204.79458475112915
Assyrian Egypt,Kingdom of Urartu,204.1963653564453
Obotrites,Stateless & unmapped,204.1425552368164
Stateless & unmapped,Kingdom of Sussex,204.0722885131836
Stateless & unmapped,Republic of Pisa,204.0225601196289
Western Moghulistan,Kazakh Khanate,203.65304851531982
Grand Duchy of Lithuania,Livonian Conference,202.1933364868164
Chagatai Khanate,Kartids,201.81654742360115
Stateless & unmapped,Principality of Moldavia,201.27954864501953
Taifa of Badajoz,Taifa of Silves,201.07034301757812
Kingdom of Sweden,Denmark-Norway,200.6861686706543
Serbs,Principality of Bulgaria,200.6190185546875
Kingdom of Hungary,Golden Horde,199.3807373046875
Ethiopian Empire,Adal Sultanate,199.0167694091797
Kingdom of Sussex,Stateless & unmapped,198.63036346435547
Novgorod Republic,(Kingdom of Denmark),198.1015510559082
Tibetans,Yuan Dynasty,196.68582963943481
Kingdom of Cappadocia,Kingdom of Sophene,196.27064208984376
Kievan Rus',Grand Duchy of Lithuania,194.92473983764648
Grand Principality of Moscow,Novgorod Republic,194.7097225189209
Khanate of Bukhara,Western Moghulistan,194.68917083740234
Kingdom of East Anglia,Kingdom of Mercia,194.15485000610352
Patani Kingdom,Stateless & unmapped,193.64727783203125
County of Ribagorza,County of Pallars Jussà,192.1156005859375
Stateless & unmapped,Nobatia,192.0767587646842
People's Republic of China,Kyrgyzstan,191.68507766723633
Kingdom of Lunda,French Africa,191.4584197998047
Kingdom of Khotan,Kara-Khanids,191.1590280532837
Stateless & unmapped,Lê Dynasty,190.43608856201172
Principality of Svaneti,Kingdom of Imereti,189.8989715576172
Bagratid Armenia,Shirvan,189.84755420684814
Lan Na,Kingdom of Luang Phrabang,187.7161407470703
Khanate of Sibir,Mongol Khanate,187.35901737213135
Tulunids,Stateless & unmapped,186.90400943905115
Ottoman Empire,Emirate of Jabal Shammar,186.23498034477234
Sagaing Kingdom,Shan States,185.97430419921875
Eastern Moghulistan,Golden Horde,185.26877117156982
Stateless & unmapped,Kingdom of Essex,185.01173400878906
Stateless & unmapped,Twenty-third Dynasty of Egypt,184.93181762695315
Sultanate of Maguindanao,Stateless & unmapped,184.36097717285156
(Brythonic Kingdoms),Kingdom of Mercia,184.02042388916016
Xiongnu,Wusun,183.88025617599487
Land Chenla,Stateless & unmapped,182.49439239501953
Stateless & unmapped,Bahrani Dynasty,182.24793875962496
Ryazan,Stateless & unmapped,182.0052261352539
Kingdom of Spain,Iberian Union,181.59510803222656
Stateless & unmapped,Trịnh lords,181.5786895751953
New France,Ashanti Empire,180.63194370269775
Kingdom of Mercia,Kingdom of Powys,180.6073760986328
Chagatai Khanate,Ming Dynasty,178.45836925506592
Swedish Empire,Duchy of Courland,178.34912109375
Stateless & unmapped,Patani Kingdom,177.51000213623047
Stateless & unmapped,Republic of Nicaragua,176.01998329162598
Principality of Turov and Pinsk,Grand Duchy of Lithuania,175.9332504272461
Stateless & unmapped,Tulunids,174.97626794874668
Kingdom of Poland,Margraviate of Brandenburg,174.82688903808594
Emirate of Bukhara,Emirate of Afghanistan,174.5680389404297
Kingdom of Sweden,Kalmar Union,174.232666015625
Principality of Wallachia,Principality of Moldavia,173.66993713378906
Republic of Ecuador,Republic of Colombia,173.60870361328125
Taifa of Silves,Taifa of Tejada,173.2032699584961
Sultanate of Selangor,Negeri Sembilan,173.11231994628906
Shan States,Sagaing Kingdom,171.1502685546875
Sumerian City-States,Stateless & unmapped,171.0346336364746
Wusun,Xiongnu,170.2676643848419
Dál Riata,Old Kingdom of Norway,169.37869262695312
Stateless & unmapped,Taifa of Saltés and Huelva,168.58316802978516
Kingdom of Armenia,Colchis,168.0332649230957
Qatar Protectorate,United Arab Emirates,167.9764404296875
Stateless & unmapped,Principality of Svaneti,167.70431327819824
County of Ribagorza,Taifa of Zaragoza,167.5574722290039
Stateless & unmapped,Republic of Ragusa,166.5418930053711
Nobatia,Stateless & unmapped,166.345697209239
(Chenla),Chámpa,166.27290725708008
Khanate of Khiva,Kazakh Khanate,166.1286934018135
Duchy of Athens,Stateless & unmapped,165.09988403320312
Paraguay,Argentine Republic,164.0069465637207
Beylik of Karaman,Stateless & unmapped,163.7347869873047
Kingdom of Lazica,Principality of Iberia,163.52928161621094
Tuyuhun,Northern Wei,162.6697428226471
Kara-Khanids,Qocho Kingdom,162.61555194854736
Marinid Sultanate,Crown of Castile,162.1011962890625
Himyarite Kingdom,Roman Empire,161.7561855316162
Northern Liang,Tuyuhun,161.54716229438782
Bolivia,Argentine Confederation,161.5193829536438
Golden Horde,Second Bulgarian Empire,159.91765594482422
Novgorod Republic,Khanate of Sibir,158.1209591664374
Samanid Empire,Stateless & unmapped,157.9926155358553
Taifa of Santa Maria do Algarve,Taifa of Silves,157.45751953125
Duchy of Masovia,Stateless & unmapped,156.92979431152344
Stateless & unmapped,Honduras,156.61664581298828
Rattanakosin Kingdom,Burma,156.59982299804688
Kingdom of France,British Colonial Empire,156.5290174484253
Montenegro,Bosnia and Herzegovina,155.4461669921875
Emirate of Córdoba,County of Ribagorza,155.23707580566406
Eastern Roman Empire,Khazaria,155.0562083721161
Republic of Ragusa,Kingdom of Bosnia,154.86777877807617
Stateless & unmapped,Khwarezmid Dynasty,154.53208430111408
Brazilian Republic,Bolivia,154.4196372628212
Kingdom of Gwent,Kingdom of Wessex,154.0592041015625
Stateless & unmapped,Tver,153.9221954345703
Paraguay,Bolivia,152.97660303115845
Ayutthaya Kingdom,Kingdom of Luang Phrabang,152.933837890625
Russian Empire,Mongolian People's Republic,152.7206745147705
Four Oirats,Moghulistan,152.21716499328613
Principality of Smolensk,Principality of Turov,151.6031951904297
Principality of Vitebsk,Novgorod Republic,151.37147521972656
Western Kushans,Stateless & unmapped,149.93149107694626
Stateless & unmapped,Eastern Moghulistan,149.4095573425293
Kingdom of Essex,Stateless & unmapped,148.00938415527344
Argentine Confederation,Republic of Chile,147.8872880935669
Goguryeo,Rouran Khaganate,147.732666015625
Stateless & unmapped,Zand Dynasty,147.4316005706787
Kingdom of Morgannwg,Stateless & unmapped,146.8114070892334
Ming Dynasty,Tümed,146.24993705749512
Stateless & unmapped,Principality of Jersika,145.6997184753418
Kingdom of the Iberians,Abbasid Caliphate,145.1240997314453
Grand Duchy of Lithuania,Principality of Pinsk,144.34471130371094
Tuyuhun,Northern Liang,144.1351375579834
Principality of Vladimir-Suzdal,Novgorod Republic,143.15911388397217
Kingdom of Bernicia,Stateless & unmapped,143.13276290893555
Italian Africa,Stateless & unmapped,142.43733406066895
Afghanistan,Islamic Republic of Pakistan,141.92698669433594
Northern Yuan,Khanate of Sibir,140.59744358062744
Kingdom of Adiabene,Huns,140.2433319091797
Kingdom of Denmark,Old Kingdom of Norway,139.68183517456055
Grand Principality of Moscow,Golden Horde,139.63070678710938
Goguryeo,Later Yan,138.68661499023438
Gorkha Kingdom,Tibet,138.0748748779297
Almoravid Dynasty,Kingdom of Portugal,137.82984924316406
Stateless & unmapped,Kingdom of Bernicia,136.75800704956055
Ottoman Empire,Sultanate of Muscat and Oman,136.72966837882996
Pskov Republic,Novgorod Republic,136.6051197052002
Timurid Empire,Khanate of Sibir,135.7235164642334
Kingdom of Bhutan,Qing Dynasty,135.7204033434391
Qing Dynasty,First Toungoo Empire,135.3836212158203
Kashmir,Tibetans,134.00187587738037
Burma,Kingdom of Thailand,133.793701171875
Eastern Roman Empire,Kingdom of Lazica,133.30997848510742
Sultanate of Muscat and Oman,Stateless & unmapped,132.7440619468689
Khanate of Khiva,Khanate of Kokand,132.6497459411621
Spanish Empire,Jesuit Reducciones,132.04184037446976
Dzungar Khanate,Kazakh Khanate,132.03934288024902
Strathclyde,Kingdom of Northumbria,131.5705213546753
Lan Na,Ayutthaya Kingdom,131.56010055541992
Golden Horde,Eastern Moghulistan,131.2638949751854
County of Toulouse,Crown of Aragon,130.0613555908203
Principality of Volhynia,Grand Duchy of Lithuania,129.60416412353516
Tibetans,Kashmir,129.14134407043457
Kingdom of Khotan,Tibetans,128.91664224117994
Islamic Republic of Pakistan,Afghanistan,128.5845947265625
Kingdom of Deira,Kingdom of Bernicia,128.5443572998047
Kingdom of Singapura,Stateless & unmapped,127.96979331970215
Stateless & unmapped,Pskov Republic,127.08366394042969
Kalinga,Stateless & unmapped,126.08006858825684
Western Qin,Liu Song Dynasty,125.95276641845703
Sabaeans,Qataban,125.74454884529112
People's Republic of China,Republic of India,125.55877494812012
Stateless & unmapped,Beylik of Aydin,125.46042251586914
Tibet,Kingdom of Bhutan,123.05739426612854
Colchis,Seleucid Empire,122.60908584594728
Tümed,Eastern Moghulistan,121.73057174682617
Grand Principality of Moscow,Tver,121.72496795654297
Kimek-Kipchak confederation,Kara-Khanids,120.87993240356445
Golden Horde,Four Oirats,120.27703309059143
Kara-Khanids,Kimek-Kipchak confederation,119.46502304077148
County of Urgell,Kingdom of Spain,119.44913482666016
Stateless & unmapped,Kingdom of Kakheti,118.37847900390625
Crown of Aragon,County of Urgell,118.25464630126953
Cimmerian Bosporus,Stateless & unmapped,118.21837568283081
Byzantine Empire,Duchy of Croatia,117.27697277069092
Northern Yuan,Chagatai Khanate,116.63364315032959
Beylik of Aydin,Stateless & unmapped,116.29216384887695
Norse Greenland,Viking settlements,116.27978420257568
Khanate of Bukhara,Dzungar Khanate,115.98625469207764
Sultanate of Aceh,Dutch East Indies,115.87247467041016
Khanate of Khiva,Qajar Dynasty,114.03694152832031
Chagatai Khanate,Mongol Khanate,113.64193725585938
Russian Empire,Kingdom of Norway,113.02083826065063
Viking settlements,Norse Greenland,111.67510414123535
Kingdom of Gwynedd,Kingdom of Northumbria,111.56775665283203
Kingdom of Powys,Stateless & unmapped,111.3977165222168
Ayutthaya Kingdom,Lan Na,109.15644073486328
Khazaria,Shirvan,109.02545881271362
Western Karakhanid Khanate,Khwarezmid Dynasty,107.78231094777584
Ghassanids,Stateless & unmapped,107.69352722167969
Lan Na Kingdom,Sukhothai Kingdom,107.34354400634766
Qocho Kingdom,Western Xia,107.28715133666992
Stateless & unmapped,Nogai Horde,106.442458152771
Livonian Conference,Stateless & unmapped,105.46170043945312
Caucasian Albania,Kingdom of Armenia,105.25588607788086
Pahlavi Dynasty,Republic of Azerbaijan,103.2619857788086
Four Oirats,Eastern Chagatai Khanate,102.62565422058105
Principality of Polotsky,Principality of Smolensk,101.99583053588867
Grand Duchy of Lithuania,Principality of Turov,101.56790924072266
Venezuela,British Colonial Empire,100.41271114349365
Middle Franks,Stateless & unmapped,100.34575271606445
Chiangmai,Burma,99.94343185424805
Dongye,Baekje,99.89191055297852
Portuguese Empire,Safavid Dynasty,99.89083862304688
Principality of Smolensk,Golden Horde,99.63504028320312
Empire of Brazil,Bolivia,99.57105255126953
Kingdom of Gwent,Kingdom of Morgannwg,98.59862518310547
Dzungar Khanate,Tibet,97.35179901123047
Chámpa,Lan Xang,97.0528678894043
Kingdom of Denmark,House of Oldenburg,97.02587628364563
Austria-Hungary,Swiss Confederation,96.55683898925781
Stateless & unmapped,Principality of Smolensk,96.49813079833984
Stateless & unmapped,Republic of New Granada,95.64387512207031
Novgorod Republic,Principality of Jersika,95.21467018127441
Ayutthaya Kingdom,Chiangmai,95.19471740722656
Wusun,Rouran Khaganate,95.10172891616821
Principality of Iberia,Kingdom of Lazica,94.85055923461914
(Chenla),Lavo Kingdom,94.59651184082031
Stateless & unmapped,Emirate of Nejd,94.02789306640625
Stateless & unmapped,Kingdom of Gwent,93.77259826660156
Water Chenla,Lavo Kingdom,91.61821365356445
Wihtgar,Stateless & unmapped,90.82633972167969
Haudenosaunee,English Colonial Empire,90.48860216140747
Stateless & unmapped,Kingdom of Deira,90.11164093017578
Umayyad Caliphate,Kingdom of Lazica,88.71012115478516
Haripuñjaya,Sukhothai Kingdom,87.84709167480469
Zand Dynasty,Stateless & unmapped,87.7673568725586
Stateless & unmapped,Kingdom of Singapura,85.31319618225098
Southern Ming,Stateless & unmapped,84.94018936157227
Stateless & unmapped,Kingdom of Morgannwg,84.43723201751709
Wusun,Protectorate of the Western Regions,84.25216484069824
Rashidun Caliphate,Khazaria,84.12633895874023
Gupta Empire,Sasanian Empire,84.00195503234863
Avar Khaganate,Carantania,82.37239074707031
Lan Na,Rattanakosin Kingdom,82.05741119384766
Makuria,Stateless & unmapped,81.42665100097656
Kashmiri Sultanate,Chagatai Khanate,81.3201677724719
Venezuela,Stateless & unmapped,80.18369102478027
Kingdom of Morgannwg,Kingdom of Gwent,80.16148376464844
Northern Wei,Stateless & unmapped,79.95741271972656
Northern Liang,Rouran Khaganate,79.74643754959106
Kazakh Khanate,Nogai Horde,78.78037762641907
Tümed,Stateless & unmapped,78.46864700317383
Funan,Chámpa,78.44588470458984
Umayyad Caliphate,Georgia,77.08867645263672
Kingdom of Gwent,Stateless & unmapped,76.23788452148438
Scandinavian minor kingdoms,Viking settlements,76.00360476970673
Pskov Republic,House of Jagiellon,75.51757431030273
Emirate of Bukhara,Qajar Dynasty,75.09645080566406
Tibet,Nepal,75.02444458007812
Principality of Vladimir-Suzdal,Golden Horde,74.63170623779297
Stateless & unmapped,Western Qin,73.71841430664062
House of Khalifa,Qatar Dynasty,72.61828029155731
Ganzhou Kingdom,Qocho Kingdom,72.21403503417969
Kingdom of Iraq,Kingdom of Saudi Arabia,72.13981294631958
Kediri Kingdom,Stateless & unmapped,71.96137619018555
Stateless & unmapped,Alodia,71.69704723358154
House of Oldenburg,Grand Principality of Moscow,71.0978033542633
Stateless & unmapped,Tümed,70.62178134918213
Four Oirats,Stateless & unmapped,70.49069738388062
Stateless & unmapped,House of Khalifa,70.12145519256592
Talpur Dynasty,Emirate of Afghanistan,69.80690002441406
Grand Duchy of Lithuania,Pskov Republic,69.66223335266113
Principality of Kiev,Kievan Rus',68.9632568359375
Eastern Kara-Khanids,Kimek-Kipchak confederation,68.3501570224762
Stateless & unmapped,North Yemen,68.02800250053406
Novgorod Republic,Principality of Minsk,67.86742401123047
Novgorod Republic,Teutonic Order,66.48337841033936
Principality of Polotsky,Novgorod Republic,66.2806396484375
Tibetan Empire,Turk Shahis,64.79712152481079
Kushan Empire,Han Dynasty,64.76335144042969
Serbian Despots,Stateless & unmapped,64.1568374633789
West Franks,Icelandic Commonwealth,64.04435062408447
County of Pallars,County of Toulouse,63.80368423461914
Moghulistan,Western Moghulistan,62.22884654998779
Karkota Dynasty,Turks,61.87355960905552
Yuezhi,Parthian Empire,61.79995250701904
Tibet,Dzungar Khanate,61.51242446899414
Principality of Rostov-Suzdal,Novgorod Republic,61.394943714141846
Kazakh Khanate,Qing Dynasty,60.751190185546875
Tsardom of Russia,Kazakh Khanate,60.297075271606445
Principality of Smolensk,Principality of Minsk,59.41010284423828
Republic of India,People's Republic of China,57.40898609161377
Denmark-Norway,United Kingdoms of Sweden and Norway,56.35155487060547
